Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,0.939950,0.949650,0.937890,0.948880,0.948880,0
2003-12-02,0.948270,0.952230,0.947050,0.949270,0.949270,0
2003-12-03,0.949240,0.958940,0.946510,0.958220,0.958220,0
2003-12-04,0.958120,0.966070,0.955970,0.963950,0.963950,0
2003-12-05,0.964420,0.964900,0.956280,0.959880,0.959880,0
2003-12-08,0.960020,0.965700,0.958450,0.960000,0.960000,0
2003-12-09,0.960290,0.971010,0.956870,0.967180,0.967180,0
2003-12-10,0.967150,0.970460,0.963630,0.966700,0.966700,0
2003-12-11,0.966850,0.977920,0.960260,0.974140,0.974140,0
2003-12-12,0.973930,0.979240,0.969200,0.973770,0.973770,0
2003-12-15,0.977520,0.978480,0.969460,0.976440,0.976440,0
2003-12-16,0.976580,0.988030,0.972550,0.985510,0.985510,0
2003-12-17,0.985550,0.989030,0.977880,0.980490,0.980490,0
2003-12-18,0.980600,0.987030,0.976770,0.986050,0.986050,0
2003-12-19,0.986560,0.988490,0.979980,0.985020,0.985020,0
2003-12-22,0.984100,0.985120,0.974230,0.976810,0.976810,0
2003-12-23,0.976600,0.990300,0.970080,0.974910,0.974910,0
2003-12-24,0.975350,0.977780,0.967660,0.970240,0.970240,0
2003-12-25,0.970460,0.975460,0.968800,0.971240,0.971240,0
2003-12-26,0.971160,0.974860,0.967070,0.972550,0.972550,0
2003-12-29,0.972170,0.976300,0.970400,0.972580,0.972580,0
2003-12-30,0.973500,0.979040,0.966650,0.968820,0.968820,0
2003-12-31,0.968860,0.978490,0.963120,0.976050,0.976050,0
2004-01-01,0.976050,0.976050,0.962750,0.973870,0.973870,0
2004-01-02,0.974920,0.981450,0.970500,0.977470,0.977470,0
2004-01-05,0.977360,0.987880,0.975280,0.982930,0.982930,0
2004-01-06,0.983540,0.990670,0.979950,0.987990,0.987990,0
2004-01-07,0.988860,0.992160,0.983710,0.989940,0.989940,0
2004-01-08,0.990400,0.993040,0.988150,0.990550,0.990550,0
2004-01-09,0.990320,0.995000,0.981160,0.981160,0.981160,0
2004-01-12,0.988500,0.993530,0.983830,0.990720,0.990720,0
2004-01-13,0.990460,0.995630,0.988230,0.991150,0.991150,0
2004-01-14,0.991350,1.002800,0.976840,0.998530,0.998530,0
2004-01-15,0.998760,1.001300,0.994840,0.999150,0.999150,0
2004-01-16,0.999580,1.000100,0.989760,0.991000,0.991000,0
2004-01-19,0.988700,0.989800,0.980330,0.982200,0.982200,0
2004-01-20,0.982120,0.992890,0.980140,0.991480,0.991480,0
2004-01-21,0.991480,1.008300,0.988230,1.006200,1.006200,0
2004-01-22,1.005800,1.012100,1.003400,1.006400,1.006400,0
2004-01-23,1.006600,1.019700,1.004700,1.011400,1.011400,0
2004-01-26,1.014300,1.017800,1.003200,1.009300,1.009300,0
2004-01-27,1.009800,1.019100,1.006800,1.017600,1.017600,0
2004-01-28,1.017200,1.030100,1.012600,1.020900,1.020900,0
2004-01-29,1.020700,1.027300,1.010700,1.013700,1.013700,0
2004-01-30,1.013100,1.017700,1.006300,1.009500,1.009500,0
2004-02-02,1.013800,1.016200,1.007800,1.013700,1.013700,0
2004-02-03,1.016000,1.024000,1.014000,1.020400,1.020400,0
2004-02-04,1.019400,1.024000,1.014000,1.015800,1.015800,0
2004-02-05,1.016000,1.023100,1.015000,1.019900,1.019900,0
2004-02-06,1.019400,1.024600,1.016200,1.018300,1.018300,0
2004-02-09,1.018800,1.033200,1.018800,1.031400,1.031400,0
2004-02-10,1.031300,1.039900,1.029600,1.037900,1.037900,0
2004-02-11,1.037600,1.039600,1.031800,1.035200,1.035200,0
